Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Story Focus,Gameplay Focus,Series
Back to the Future: The Game,2011,Adventure,Telltale Games,0.05,0,0,0,0.05,66,7,4.1,9,Iron Galaxy Studios,T,x,x,
Backyard Baseball,2003,Sports,Infogrames,0.1,0.03,0,0,0.13,70,4,9.4,5,Humongous Entertainment,E,,x,
Backyard Baseball '09,2008,Sports,Atari,0.04,0,0,0,0.04,37,4,7.8,5,Humongous Entertainment,E,,x,
Backyard Wrestling: Don't Try This at Home,2003,Fighting,Eidos Interactive,0.3,0.23,0,0.08,0.6,51,24,7.8,29,Paradox Development,M,,x,
Backyard Wrestling: Don't Try This at Home,2003,Fighting,Eidos Interactive,0.13,0.04,0,0.01,0.17,50,15,5,7,Paradox Development,M,,x,
Backyard Wrestling 2: There Goes the Neighborhood,2004,Fighting,Eidos Interactive,0.14,0.11,0,0.04,0.28,46,23,4.7,10,Paradox Development,M,,x,
Bad Boys: Miami Takedown,2004,Shooter,Empire Interactive,0.56,0.44,0,0.15,1.15,43,5,3.4,13,Blitz Games,M,,x,
Bad Boys: Miami Takedown,2004,Shooter,Empire Interactive,0.14,0.04,0,0.01,0.18,35,20,5.9,9,Blitz Games,M,,x,
Bad Boys: Miami Takedown,2004,Shooter,Empire Interactive,0.03,0.01,0,0,0.05,35,11,2,9,Blitz Games,M,,x,
Baja: Edge of Control,2008,Racing,THQ,0.1,0.08,0,0.03,0.21,61,21,5,11,2XL Games,E,,x,
Baja: Edge of Control,2008,Racing,THQ,0.12,0.06,0,0.02,0.2,65,35,7.1,18,2XL Games,E,,x,
Bakugan: Battle Brawlers,2009,Action,Activision,1.26,0.02,0,0.1,1.38,60,6,6.7,7,Now Production,E,,x,
Bakugan: Battle Brawlers,2009,Action,Activision,0.59,0.03,0,0.05,0.66,62,12,7.2,11,Now Production,E,,x,
Bakugan: Battle Brawlers,2009,Action,Activision,0.2,0.02,0,0.02,0.24,60,16,5.2,9,Now Production,E,,x,
Bakugan: Battle Brawlers,2009,Action,Activision,0.19,0.03,0,0.02,0.23,63,10,8.2,5,Now Production,E,,x,
Baldur's Gate: Dark Alliance,2001,Role-Playing,Virgin Interactive,0.61,0.48,0,0.16,1.24,87,29,8.3,90,Snowblind Studios,T,x,x,
Baldur's Gate: Dark Alliance,2002,Role-Playing,Virgin Interactive,0.15,0.04,0,0.01,0.2,83,25,8.3,26,Snowblind Studios,T,x,x,
Baldur's Gate: Dark Alliance,2002,Role-Playing,Virgin Interactive,0.11,0.03,0,0,0.14,79,10,7.7,22,High Voltage Software,T,x,x,
Baldur's Gate: Dark Alliance,2004,Role-Playing,"Destination Software, Inc",0.02,0.01,0,0,0.03,76,17,6.5,11,Magic Pockets,T,x,x,
Baldur's Gate: Dark Alliance II,2004,Role-Playing,Interplay,0.34,0.26,0,0.09,0.68,78,44,8.7,54,Black Isle Studios,T,x,x,
Baldur's Gate: Dark Alliance II,2004,Role-Playing,Acclaim Entertainment,0.19,0.06,0,0.01,0.26,77,44,7.9,16,Black Isle Studios,T,x,x,
Ball Breakers,2000,Action,Take-Two Interactive,0.1,0.07,0,0.01,0.18,68,10,5.3,4,Lost Toys,E,,x,
Balls of Fury,2007,Sports,Zoo Digital Publishing,0.02,0,0,0,0.02,19,6,2.8,25,Black Lantern Studios,E10+,,x,
Band Hero,2009,Misc,Activision,0.59,0.29,0,0.09,0.97,79,20,6.6,15,Vicarious Visions,E10+,,x,
Band Hero,2009,Misc,Activision,0.51,0.21,0,0.07,0.79,76,52,5,30,Neversoft Entertainment,E10+,,x,
Band Hero,2009,Misc,Activision,0.41,0.23,0,0.11,0.74,76,45,5.7,9,Neversoft Entertainment,E10+,,x,
Band Hero,2009,Misc,Activision,0.2,0.19,0,0.04,0.43,65,18,7,4,Vicarious Visions,E10+,,x,
Bangai-O Spirits,2008,Shooter,D3Publisher,0.07,0,0,0.01,0.08,83,38,8.1,27,Treasure,E10+,,x,
Banjo-Kazooie,2008,Platform,Microsoft Game Studios,0,0.01,0,0,0.01,77,17,8.2,70,4J Studios,E,,x,
Banjo-Kazooie: Grunty's Revenge,2003,Platform,THQ,0.24,0.09,0,0.01,0.33,72,21,8.1,18,Rare Ltd.,E,,x,
Banjo-Pilot,2005,Racing,THQ,0.07,0.03,0,0,0.1,68,22,5.9,9,Rare Ltd.,E,,,
Barbie Groovy Games,2002,Misc,Universal Interactive,0.4,0.15,0,0.01,0.56,47,5,7,4,Digital Illusions,E,,x,
Barnyard,2006,Action,THQ,0.05,0.04,0,0.01,0.09,62,13,8.7,10,Blue Tongue Entertainment,E10+,,x,
Barnyard,2006,Action,THQ,0.04,0,0,0,0.04,65,15,5.7,7,Blue Tongue Entertainment,E10+,,x,
Baroque,2007,Role-Playing,Rising Star Games,0.05,0.04,0.02,0.01,0.13,60,6,8.8,44,Sting,T,,x,
Baroque,2008,Role-Playing,Rising Star Games,0.07,0,0,0.01,0.07,50,22,8.1,24,Sting,T,,x,
Baseball Advance,2002,Sports,Sega,0.1,0.04,0,0,0.13,80,16,7.8,5,Smilebit,E,,x,
Bass Pro Shops: The Strike,2009,Sports,XS Games,0.2,0,0,0.02,0.21,63,4,5.8,5,Piranha Games,E,,x,
Bass Strike,2001,Sports,THQ,0.14,0.11,0,0.04,0.28,57,11,5.8,4,THQ,E,,x,
Baten Kaitos: Eternal Wings and the Lost Ocean,2003,Role-Playing,Nintendo,0.21,0.05,0,0.01,0.27,80,48,9,59,Monolith Soft,T,,x,
